상품명,수량,매출원,주문라인,상태별수량,일별수량
유어스킨플러스 히알루론산 토너,14,152600,14,"{""FINAL_DELIVERY"": 14}","{""2026-05-16"": 1, ""2026-05-17"": 1, ""2026-05-19"": 2, ""2026-05-20"": 1, ""2026-05-23"": 1, ""2026-05-26"": 3, ""2026-05-27"": 1, ""2026-05-28"": 1, ""2026-06-03"": 1, ""2026-06-06"": 1, ""2026-06-10"": 1}"
유어스킨플러스 히알루론산 아쿠아 로션,9,92700,9,"{""ACCEPT"": 1, ""DEPARTURE"": 1, ""FINAL_DELIVERY"": 7}","{""2026-06-15"": 1, ""2026-06-13"": 1, ""2026-05-24"": 1, ""2026-05-26"": 2, ""2026-05-29"": 1, ""2026-06-05"": 1, ""2026-06-09"": 1, ""2026-06-10"": 1}"
유어스킨플러스 화이트닝 톤 케어 크림,9,90900,8,"{""FINAL_DELIVERY"": 9}","{""2026-05-16"": 1, ""2026-05-17"": 2, ""2026-05-19"": 2, ""2026-05-20"": 1, ""2026-05-23"": 1, ""2026-05-31"": 1, ""2026-06-01"": 1}"
유어스킨플러스 영거 댄 올인원 로션,6,59400,5,"{""FINAL_DELIVERY"": 6}","{""2026-05-17"": 1, ""2026-05-20"": 1, ""2026-05-22"": 2, ""2026-06-05"": 1, ""2026-06-07"": 1}"
유어스킨플러스 로우 피에이치 클렌징 젤,2,21000,2,"{""FINAL_DELIVERY"": 2}","{""2026-05-17"": 1, ""2026-05-25"": 1}"
유어스킨플러스 피디알엔 히알루론산 수딩 크림,1,12800,1,"{""FINAL_DELIVERY"": 1}","{""2026-05-17"": 1}"
유어스킨플러스 퓨어 딥 클렌징 오일,1,12700,1,"{""FINAL_DELIVERY"": 1}","{""2026-05-29"": 1}"
유어스킨플러스 모이스춰 립밤,1,9900,1,"{""FINAL_DELIVERY"": 1}","{""2026-05-22"": 1}"
유어스킨플러스 피디알렌 히알루론산 앰플,0,0,0,{},{}
유어스킨플러스 화이트 글로우 톤업 크림,0,0,0,{},{}
유어스킨플러스 로즈 다마스쿠스 토닉 에센스,0,0,0,{},{}
